title,author(s),length
Forbidden Desires: The Complete Series,Kendall Ryan,Length: 22 hrs and 25 mins
Revelation: A LitRPG Adventure,V.A. Lewis,Length: 9 hrs and 23 mins
The Lion: Son of the Forest,Mike Brooks,Length: 12 hrs and 15 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins
Beneath the Ashes,Misty Vixen,Length: 7 hrs and 58 mins
Learn Spanish While You Sleep & Learn Spanish While Driving in Your Car,Patrick Jackson,Length: 51 hrs and 44 mins
Bad Luck and Trouble,Lee Child,Length: 13 hrs and 17 mins
"I, Jedi",Michael A. Stackpole,Length: 14 hrs
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 27 mins
Living the Artist's Way,Julia Cameron,Length: 5 hrs and 28 mins
Dark Matter,Blake Crouch,Length: 10 hrs and 8 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Cook County ICU,Cory Franklin MD,Length: 7 hrs and 3 mins
The Theory of Everything,Stephen Hawking,Length: 3 hrs and 29 mins
Born to Be Badger,Shelly Laurenston,Length: 10 hrs and 38 mins
